algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,471572,4034521.337955525,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,481605,4124610.7586459536,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,491639,4214709.158646727,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,501672,4304798.579337155,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,511706,4394896.979337929,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,521739,4484986.400028357,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,531773,4575084.800029131,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,541806,4665174.220719559,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,551839,4755263.641409988,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,561873,4845362.041410761,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,571906,4935451.462101189,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,581940,5025549.862101963,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,591973,5115639.282792391,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,602007,5205737.682793165,distributed_exploration_phase3,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,612040,5259391.103483593,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,622074,5338438.503484366,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,632107,5428527.924174795,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,642140,5518617.344865223,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,652174,5608715.744865997,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,662207,5698805.165556425,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,672241,5788903.565557199,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,682274,5878992.986247627,distributed_exploration_phase4,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,692308,5969091.3862484,distributed_exploration_phase4,0,1
