algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,7992363.862167699,4891420.0,1434830,248220,57000,63420,127800,1186610,892104,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,1,0,20260510,7992363.862167699,4891420.0,1434830,248220,57000,63420,127800,1186610,892104,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,2,0,20260510,4329484.696632051,6447735.0,1200228,158010,62400,31710,63900,1042218,492065,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,3,0,20260510,3534072.910418927,6554730.0,1123561,128540,64800,21140,42600,995021,403703,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,4,0,20260510,3232938.855243149,6469628.0,1080547,115005,67200,15855,31950,965542,371740,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,5,0,20260510,3422458.2069689203,6476558.0,1102425,107844,69600,12684,25560,994581,393448,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,6,0,20260510,3370499.9035201347,6487418.0,1097848,107470,75600,10570,21300,990378,389536,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,7,0,20260510,7685862.8828696245,6653548.0,1596939,220494,164304,18120,38070,1376445,885585,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,8,0,20260510,8903716.751845665,6661801.0,1733487,218031,168336,15855,33840,1515456,1022714,1,1,1,0,0,1,0
huang2022,30,12,3000000,2.2350180212482304e-08,1,1,20260511,7596033.834579352,5038646.0,1407088,248220,57000,63420,127800,1158868,847679,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,1,1,20260511,7596033.834579352,5038646.0,1407088,248220,57000,63420,127800,1158868,847679,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,2,1,20260511,4289537.710402209,3814236.0,902494,158010,62400,31710,63900,744484,488008,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,3,1,20260511,3502169.5655902964,6464829.0,1109996,128540,64800,21140,42600,981456,400728,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,4,1,20260511,3250561.1517950245,6469237.0,1082466,115005,67200,15855,31950,967461,373599,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,5,1,20260511,7175797.103554899,6687854.0,1543955,234848,158720,25368,50760,1309107,829595,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,6,1,20260511,6977352.5863104295,6494621.0,1500335,228920,165480,21140,42300,1271415,808404,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,7,1,20260511,7949540.820780149,4003331.0,1331157,225870,169680,18120,38070,1105287,917964,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,8,1,20260511,8979777.379432721,6687458.0,1744815,223575,173880,15855,33840,1521240,1033493,1,1,1,0,0,1,0
huang2022,30,12,3000000,2.2350180212482304e-08,1,2,20260512,7846242.296649182,4888925.0,1418279,248220,57000,63420,127800,1170059,876134,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,1,2,20260512,7846242.296649182,4888925.0,1418279,248220,57000,63420,127800,1170059,876134,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,2,2,20260512,4311111.744907738,6445689.0,1197954,158010,62400,31710,63900,1039944,489933,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,3,2,20260512,3488676.2483261414,3824550.0,814453,128540,64800,21140,42600,685913,399433,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,4,2,20260512,3216703.538001616,6467339.0,1078484,115005,67200,15855,31950,963479,369949,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,5,2,20260512,6883140.117345237,6641551.0,1506206,234848,158720,25368,50760,1271358,796800,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,6,2,20260512,6854997.462172816,6644372.0,1503386,228920,165480,21140,42300,1274466,793801,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,7,2,20260512,8051380.441493588,6662764.0,1638672,225870,169680,18120,38070,1412802,928190,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,8,2,20260512,9147828.889779111,6691917.0,1764027,223575,173880,15855,33840,1540452,1051221,1,1,1,0,0,1,0
huang2022,30,12,3000000,2.2350180212482304e-08,1,3,20260513,7600305.855266303,4719281.0,1371997,248220,57000,63420,127800,1123777,849595,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,1,3,20260513,7600305.855266303,4719281.0,1371997,248220,57000,63420,127800,1123777,849595,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,2,3,20260513,4212850.069044836,6447028.0,1187160,158010,62400,31710,63900,1029150,479274,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,3,3,20260513,3498909.8897281676,6461004.0,1109207,128540,64800,21140,42600,980667,400416,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,4,3,20260513,3127724.7448973726,6463786.0,1068179,115005,67200,15855,31950,953174,360346,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,5,3,20260513,3549784.1517976993,6487702.0,1117846,107844,69600,12684,25560,1010002,407816,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,6,3,20260513,3521164.3724870677,6501470.0,1116192,107470,75600,10570,21300,1008722,406007,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,7,3,20260513,8012431.317355211,6654895.0,1633458,220494,164304,18120,38070,1412964,922158,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,8,3,20260513,8767034.79322377,6656547.0,1717680,218031,168336,15855,33840,1499649,1007672,1,1,1,0,0,1,0
huang2022,30,12,3000000,2.2350180212482304e-08,1,4,20260514,7769388.986302245,4719835.0,1390889,248220,57000,63420,127800,1142669,868040,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,1,4,20260514,7769388.986302245,4719835.0,1390889,248220,57000,63420,127800,1142669,868040,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,2,4,20260514,4180631.6966321804,6610910.0,1201823,158010,62400,31710,63900,1043813,475934,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,3,4,20260514,3483148.5724866297,6458241.0,1107144,128540,64800,21140,42600,978604,398652,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,4,4,20260514,3139030.282828563,6470475.0,1070183,115005,67200,15855,31950,955178,361205,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,5,4,20260514,3369983.213864976,6470874.0,1095948,107844,69600,12684,25560,988104,388097,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,6,4,20260514,3386980.7931755395,6497893.0,1100850,107470,75600,10570,21300,993380,391084,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,7,4,20260514,7837752.8345950395,6650975.0,1613568,220494,164304,18120,38070,1393074,902682,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,8,4,20260514,8792078.041499145,6576712.0,1711578,218031,168336,15855,33840,1493547,1010190,1,1,1,0,0,1,0
huang2022,30,12,3000000,2.2350180212482304e-08,1,5,20260515,7723794.689750076,4713044.0,1385055,248220,57000,63420,127800,1136835,863105,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,1,5,20260515,7723794.689750076,4713044.0,1385055,248220,57000,63420,127800,1136835,863105,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,2,5,20260515,4180141.455251455,6443981.0,1183178,158010,62400,31710,63900,1025168,475752,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,3,5,20260515,3460873.538003648,6454925.0,1104294,128540,64800,21140,42600,975754,396514,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,4,5,20260515,3167095.6690357537,6476962.0,1074031,115005,67200,15855,31950,959026,364024,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,5,5,20260515,3499996.482831622,6472246.0,1110580,107844,69600,12684,25560,1002736,402273,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,6,5,20260515,6846164.7932072645,6666081.0,1504820,228920,165480,21140,42300,1275900,793819,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,7,5,20260515,7871129.517354212,6691516.0,1621800,225870,169680,18120,38070,1395930,908761,1,1,1,0,0,1,0
izumi2026,30,12,3000000,2.2350180212482304e-08,8,5,20260515,8862178.786328154,6682058.0,1731117,223575,173880,15855,33840,1507542,1020766,1,1,1,0,0,1,0
