algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
izumi2026,10,4,1000000,7.238241365054197e-08,3,5,20260515,502721.66666481085,275583.0,253795,40379,26752,4387,9240,213416,162375,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,5,20260515,485821.1333320946,170697.0,214082,37858,27968,3290,6600,176224,157824,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,5,20260515,484530.5333315982,271366.0,246488,37096,29184,2632,5280,209392,154933,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,6,20260516,298049.6666664966,185073.0,157540,30580,10800,6580,13200,126960,94117,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,6,20260516,298049.6666664966,185073.0,157540,30580,10800,6580,13200,126960,94117,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,6,20260516,187185.80000076324,153343.0,111042,21410,11520,3290,6600,89632,59768,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,6,20260516,464455.59999889845,164760.0,205179,40379,26752,4387,9240,164800,151384,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,6,20260516,467317.1333322173,165097.0,206222,37858,27968,3290,6600,168364,152508,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,6,20260516,484718.53333159693,271178.0,246488,37096,29184,2632,5280,209392,155582,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,7,20260517,297858.66666649736,185264.0,157540,30580,10800,6580,13200,126960,94172,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,7,20260517,297858.66666649736,185264.0,157540,30580,10800,6580,13200,126960,94172,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,7,20260517,192134.06666791826,258807.0,147046,21410,11520,3290,6600,125636,60976,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,7,20260517,494179.19999871915,170070.0,216603,40379,26752,4387,9240,176224,160846,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,7,20260517,474169.3999988209,170585.0,210246,37858,27968,3290,6600,172388,153910,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,7,20260517,470644.5999988379,171773.0,209484,37096,29184,2632,5280,172388,151099,1,1,1,0,0,1,0
