algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,0,0.0,not_started,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,3344,7058.933333333187,find_good_arm,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,6689,15952.93333333569,find_good_arm,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,10033,21306.866666666247,find_good_arm,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,13378,29540.866666663,virtual_musical_chairs,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,16722,38580.79999999309,virtual_musical_chairs,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,20067,47656.799999989846,virtual_number_players,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,23411,56741.733333319935,virtual_number_players,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,26756,66270.73333331669,virtual_number_players,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,30100,75463.66666664678,virtual_number_players,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,33445,84903.66666664353,distributed_exploration_phase1,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,36789,95158.59999997362,distributed_exploration_phase1,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,40134,105416.59999997038,distributed_exploration_phase1,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,43478,114336.53333330047,distributed_exploration_phase2,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,46823,124594.53333329722,distributed_exploration_phase2,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,50167,134849.46666664522,distributed_exploration_phase2,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,53512,142387.46666669066,distributed_exploration_phase3,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,56856,152642.4000000694,distributed_exploration_phase3,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,60201,162900.40000011484,distributed_exploration_phase3,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,63545,173155.3333334936,distributed_exploration_phase3,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,66890,179059.33333353902,distributed_exploration_phase4,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,70234,188549.26666691777,distributed_exploration_phase4,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,73579,198807.2666669632,distributed_exploration_phase4,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,76923,209062.20000034195,distributed_exploration_phase4,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,80268,212331.20000038738,distributed_exploration_phase5,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,83612,219937.13333376613,distributed_exploration_phase5,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,86957,230195.13333381157,distributed_exploration_phase5,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,90301,240450.06666719032,distributed_exploration_phase5,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,93645,247788.00000056907,distributed_exploration_phase6,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,96990,248809.0000006145,distributed_exploration_phase6,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,100334,256137.93333399325,distributed_exploration_phase6,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,103679,266395.9333339983,distributed_exploration_phase6,0,1
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,107023,267808.86666727974,distributed_exploration_phase7,0,1
