algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,160535,337742.90000045317,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,163880,345570.20000053884,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,167224,353395.1600006245,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,170569,361222.46000071015,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,173913,369047.4200007958,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,177258,376874.72000088147,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,180602,384699.6800009671,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,183946,392524.64000105276,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,187291,400351.9400011384,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,190635,408176.9000012241,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,193980,416004.20000130974,distributed_exploration_phase2,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,197324,421826.1600013954,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,200669,428759.46000148106,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,204013,436584.4200015667,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,207358,444411.7200016524,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,210702,452236.680001738,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,214047,460063.9800018237,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,217391,467888.94000190933,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,220736,475716.240001995,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,224080,483541.20000208064,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,227425,491368.5000021663,distributed_exploration_phase3,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,230769,499193.46000225196,distributed_exploration_phase3,0,1
